#,Latitude,Longitude,Pixel X,Pixel Y,Landmark
90,35.31651,-120.65374,2240 px,2015 px,
91,35.31667,-120.65463,1086 px,963 px,
92,35.31645,-120.65453,1055 px,1476 px,
93,35.31621,-120.65466,631 px,1840 px,
94,35.31624,-120.65431,1195 px,2050 px,
95,35.31567,-120.65431,720 px,3049 px,
96,35.31567,-120.65337,1925 px,3774 px,
97,35.31541,-120.65314,2072 px,4347 px,
98,35.31548,-120.65348,1692 px,3969 px,
99,35.31625,-120.65321,2725 px,2946 px,
100,35.31608,-120.65303,2781 px,3341 px,
101,35.31683,-120.65471,1181 px,668 px,
102,35.31512,-120.653,1987 px,4904 px,
103,35.31514,-120.65289,2207 px,4904 px,
104,35.31561,-120.65291,2530 px,4167 px,
105,35.31557,-120.65309,2296 px,4122 px,
106,35.31595,-120.65474,317 px,2223 px,
107,35.31573,-120.65392,1306 px,3306 px,
108,35.31612,-120.65382,1807 px,2661 px,13
109,-35.31635,-120.65371,2137 px,2322 px,
110,35.31596,-120.6538,1681 px,2977 px,
111,35.3158,-120.65387,1425 px,3156 px,
112,35.31623,-120.65407,1542 px,2261 px,
113,35.3164,-120.65414,1561 px,1895 px,22
114,35.31635,-120.65354,2373 px,2511 px,
115,35.31537,-120.6536,1461 px,4094 px,
116,35.31536,-120.65341,1692 px,4242 px,
117,35.31562,-120.65374,1487 px,3596 px,
118,35.3155,-120.65381,1283 px,3714 px,
119,35.31534,-120.65364,1340 px,4142 px,
120,35.31692,-120.65492,905 px,251 px,
121,35.31522,-120.65359,1349 px,4317 px,
122,35.31486,-120.65255,2390 px,5569 px,
123,35.31471,-120.65268,2110 px,5810 px,34
124,35.31294,-120.65207,-1000 px,-1000 px,
125,35.31313,-120.65196,-1000 px,-1000 px,
126,35.31326,-120.6519,-1000 px,-1000 px,
127,35.3126,-120.6519,-1000 px,-1000 px,
128,35.3152,-120.65365,1237 px,4377 px,
129,35.31511,-120.65355,1270 px,4530 px,
130,35.31673,-120.65391,2165 px,1526 px,
131,35.31664,-120.6545,1306 px,1107 px,
132,35.31699,-120.65443,1718 px,668 px,
133,35.31628,-120.65376,2071 px,2464 px,
